granule_uid,granule_gid,obs_id,dataproduct_type,target_name,target_class,time_min,time_max,time_sampling_step_min,time_sampling_step_max,time_exp_min,time_exp_max,spectral_range_min,spectral_range_max,spectral_sampling_step_min,spectral_sampling_step_max,spectral_resolution_min,spectral_resolution_max,spatial_frame_type,instrument_host_name,instrument_name,measurement_type,processing_level,creation_date,modification_date,release_date,service_title,access_url,file_name,access_format,access_estsize,time_scale,thumbnail_url,publisher,bib_reference,target_region,feature_name,receiver_name,spectral_bandwith_min,spectral_bandwith_max
iprt_amateras_low_20260321_v1.0,IPRT AMATERAS Low Resolution Dataset,iprt_amateras_low_20260321_v1.0,ds,Sun,star,2461120.4217939815,2461120.813865741,1,1,1,1,100000000,500000000,976562.0,976562.0,500.0,100.0,none,Itate Observatory,IPRT,phot.flux.density;em.radio;phys.polarization,1,2026-04-07T11:12:52.817,2026-04-07T11:12:53.365,2026-04-07T11:12:53.365,iprt,http://radio.gp.tohoku.ac.jp/db/IPRT-SUN/DATA2/2026/20260321_IPRT.fits,20260321_IPRT.fits,application/fits,27656.64,UTC,http://radio.gp.tohoku.ac.jp/sun_ql/plot/IPRT_SUN_20260321.gif,Tohoku University,10.1007/s11207-011-9919-y,SolarWind#Heliosphere,Solar radio bursts,AMATERAS,976562.0,976562.0
iprt_amateras_low_20260322_v1.0,IPRT AMATERAS Low Resolution Dataset,iprt_amateras_low_20260322_v1.0,ds,Sun,star,2461121.4205787037,2461121.814525463,1,1,1,1,100000000,500000000,976562.0,976562.0,500.0,100.0,none,Itate Observatory,IPRT,phot.flux.density;em.radio;phys.polarization,1,2026-04-07T11:12:53.374,2026-04-07T11:12:53.935,2026-04-07T11:12:53.935,iprt,http://radio.gp.tohoku.ac.jp/db/IPRT-SUN/DATA2/2026/20260322_IPRT.fits,20260322_IPRT.fits,application/fits,27754.56,UTC,http://radio.gp.tohoku.ac.jp/sun_ql/plot/IPRT_SUN_20260322.gif,Tohoku University,10.1007/s11207-011-9919-y,SolarWind#Heliosphere,Solar radio bursts,AMATERAS,976562.0,976562.0
iprt_amateras_low_20260323_v1.0,IPRT AMATERAS Low Resolution Dataset,iprt_amateras_low_20260323_v1.0,ds,Sun,star,2461122.4194560186,2461122.8153819446,1,1,1,1,100000000,500000000,976562.0,976562.0,500.0,100.0,none,Itate Observatory,IPRT,phot.flux.density;em.radio;phys.polarization,1,2026-04-07T11:12:53.945,2026-04-07T11:12:54.485,2026-04-07T11:12:54.485,iprt,http://radio.gp.tohoku.ac.jp/db/IPRT-SUN/DATA2/2026/20260323_IPRT.fits,20260323_IPRT.fits,application/fits,27953.28,UTC,http://radio.gp.tohoku.ac.jp/sun_ql/plot/IPRT_SUN_20260323.gif,Tohoku University,10.1007/s11207-011-9919-y,SolarWind#Heliosphere,Solar radio bursts,AMATERAS,976562.0,976562.0
iprt_amateras_low_20260324_v1.0,IPRT AMATERAS Low Resolution Dataset,iprt_amateras_low_20260324_v1.0,ds,Sun,star,2461123.418587963,2461123.816284722,1,1,1,1,100000000,500000000,976562.0,976562.0,500.0,100.0,none,Itate Observatory,IPRT,phot.flux.density;em.radio;phys.polarization,1,2026-04-07T11:12:54.493,2026-04-07T11:12:55.048,2026-04-07T11:12:55.048,iprt,http://radio.gp.tohoku.ac.jp/db/IPRT-SUN/DATA2/2026/20260324_IPRT.fits,20260324_IPRT.fits,application/fits,28051.2,UTC,http://radio.gp.tohoku.ac.jp/sun_ql/plot/IPRT_SUN_20260324.gif,Tohoku University,10.1007/s11207-011-9919-y,SolarWind#Heliosphere,Solar radio bursts,AMATERAS,976562.0,976562.0
iprt_amateras_low_20260325_v1.0,IPRT AMATERAS Low Resolution Dataset,iprt_amateras_low_20260325_v1.0,ds,Sun,star,2461124.4174421295,2461124.8161921296,1,1,1,1,100000000,500000000,976562.0,976562.0,500.0,100.0,none,Itate Observatory,IPRT,phot.flux.density;em.radio;phys.polarization,1,2026-04-07T11:12:55.058,2026-04-07T11:12:55.644,2026-04-07T11:12:55.644,iprt,http://radio.gp.tohoku.ac.jp/db/IPRT-SUN/DATA2/2026/20260325_IPRT.fits,20260325_IPRT.fits,application/fits,28149.12,UTC,http://radio.gp.tohoku.ac.jp/sun_ql/plot/IPRT_SUN_20260325.gif,Tohoku University,10.1007/s11207-011-9919-y,SolarWind#Heliosphere,Solar radio bursts,AMATERAS,976562.0,976562.0
iprt_amateras_low_20260329_v1.0,IPRT AMATERAS Low Resolution Dataset,iprt_amateras_low_20260329_v1.0,ds,Sun,star,2461128.4130324074,2461128.819224537,1,1,1,1,100000000,500000000,976562.0,976562.0,500.0,100.0,none,Itate Observatory,IPRT,phot.flux.density;em.radio;phys.polarization,1,2026-04-07T11:12:55.658,2026-04-07T11:12:56.263,2026-04-07T11:12:56.263,iprt,http://radio.gp.tohoku.ac.jp/db/IPRT-SUN/DATA2/2026/20260329_IPRT.fits,20260329_IPRT.fits,application/fits,28543.68,UTC,http://radio.gp.tohoku.ac.jp/sun_ql/plot/IPRT_SUN_20260329.gif,Tohoku University,10.1007/s11207-011-9919-y,SolarWind#Heliosphere,Solar radio bursts,AMATERAS,976562.0,976562.0
iprt_amateras_low_20260330_v1.0,IPRT AMATERAS Low Resolution Dataset,iprt_amateras_low_20260330_v1.0,ds,Sun,star,2461129.4120833334,2461129.8194328705,1,1,1,1,100000000,500000000,976562.0,976562.0,500.0,100.0,none,Itate Observatory,IPRT,phot.flux.density;em.radio;phys.polarization,1,2026-04-07T11:12:56.272,2026-04-07T11:12:56.800,2026-04-07T11:12:56.800,iprt,http://radio.gp.tohoku.ac.jp/db/IPRT-SUN/DATA2/2026/20260330_IPRT.fits,20260330_IPRT.fits,application/fits,28641.6,UTC,http://radio.gp.tohoku.ac.jp/sun_ql/plot/IPRT_SUN_20260330.gif,Tohoku University,10.1007/s11207-011-9919-y,SolarWind#Heliosphere,Solar radio bursts,AMATERAS,976562.0,976562.0
iprt_amateras_low_20260331_v1.0,IPRT AMATERAS Low Resolution Dataset,iprt_amateras_low_20260331_v1.0,ds,Sun,star,2461130.410983796,2461130.8205671296,1,1,1,1,100000000,500000000,976562.0,976562.0,500.0,100.0,none,Itate Observatory,IPRT,phot.flux.density;em.radio;phys.polarization,1,2026-04-07T11:12:56.807,2026-04-07T11:12:57.404,2026-04-07T11:12:57.404,iprt,http://radio.gp.tohoku.ac.jp/db/IPRT-SUN/DATA2/2026/20260331_IPRT.fits,20260331_IPRT.fits,application/fits,28739.52,UTC,http://radio.gp.tohoku.ac.jp/sun_ql/plot/IPRT_SUN_20260331.gif,Tohoku University,10.1007/s11207-011-9919-y,SolarWind#Heliosphere,Solar radio bursts,AMATERAS,976562.0,976562.0
iprt_amateras_low_20260401_v1.0,IPRT AMATERAS Low Resolution Dataset,iprt_amateras_low_20260401_v1.0,ds,Sun,star,2461131.409537037,2461131.8207523148,1,1,1,1,100000000,500000000,976562.0,976562.0,500.0,100.0,none,Itate Observatory,IPRT,phot.flux.density;em.radio;phys.polarization,1,2026-04-07T11:12:57.413,2026-04-07T11:12:58.021,2026-04-07T11:12:58.021,iprt,http://radio.gp.tohoku.ac.jp/db/IPRT-SUN/DATA2/2026/20260401_IPRT.fits,20260401_IPRT.fits,application/fits,28935.36,UTC,http://radio.gp.tohoku.ac.jp/sun_ql/plot/IPRT_SUN_20260401.gif,Tohoku University,10.1007/s11207-011-9919-y,SolarWind#Heliosphere,Solar radio bursts,AMATERAS,976562.0,976562.0
iprt_amateras_low_20260402_v1.0,IPRT AMATERAS Low Resolution Dataset,iprt_amateras_low_20260402_v1.0,ds,Sun,star,2461132.408726852,2461132.82181713,1,1,1,1,100000000,500000000,976562.0,976562.0,500.0,100.0,none,Itate Observatory,IPRT,phot.flux.density;em.radio;phys.polarization,1,2026-04-07T11:12:58.030,2026-04-07T11:12:58.577,2026-04-07T11:12:58.577,iprt,http://radio.gp.tohoku.ac.jp/db/IPRT-SUN/DATA2/2026/20260402_IPRT.fits,20260402_IPRT.fits,application/fits,29134.08,UTC,http://radio.gp.tohoku.ac.jp/sun_ql/plot/IPRT_SUN_20260402.gif,Tohoku University,10.1007/s11207-011-9919-y,SolarWind#Heliosphere,Solar radio bursts,AMATERAS,976562.0,976562.0
iprt_amateras_low_20260403_v1.0,IPRT AMATERAS Low Resolution Dataset,iprt_amateras_low_20260403_v1.0,ds,Sun,star,2461133.4074884257,2461133.8218055554,1,1,1,1,100000000,500000000,976562.0,976562.0,500.0,100.0,none,Itate Observatory,IPRT,phot.flux.density;em.radio;phys.polarization,1,2026-04-07T11:12:58.587,2026-04-07T11:12:59.161,2026-04-07T11:12:59.161,iprt,http://radio.gp.tohoku.ac.jp/db/IPRT-SUN/DATA2/2026/20260403_IPRT.fits,20260403_IPRT.fits,application/fits,29232.0,UTC,http://radio.gp.tohoku.ac.jp/sun_ql/plot/IPRT_SUN_20260403.gif,Tohoku University,10.1007/s11207-011-9919-y,SolarWind#Heliosphere,Solar radio bursts,AMATERAS,976562.0,976562.0
iprt_amateras_low_20260404_v1.0,IPRT AMATERAS Low Resolution Dataset,iprt_amateras_low_20260404_v1.0,ds,Sun,star,2461134.406597222,2461134.8236226854,1,1,1,1,100000000,500000000,976562.0,976562.0,500.0,100.0,none,Itate Observatory,IPRT,phot.flux.density;em.radio;phys.polarization,1,2026-04-07T11:12:59.170,2026-04-07T11:12:59.709,2026-04-07T11:12:59.709,iprt,http://radio.gp.tohoku.ac.jp/db/IPRT-SUN/DATA2/2026/20260404_IPRT.fits,20260404_IPRT.fits,application/fits,29427.84,UTC,http://radio.gp.tohoku.ac.jp/sun_ql/plot/IPRT_SUN_20260404.gif,Tohoku University,10.1007/s11207-011-9919-y,SolarWind#Heliosphere,Solar radio bursts,AMATERAS,976562.0,976562.0
iprt_amateras_low_20260405_v1.0,IPRT AMATERAS Low Resolution Dataset,iprt_amateras_low_20260405_v1.0,ds,Sun,star,2461135.405451389,2461135.8238657406,1,1,1,1,100000000,500000000,976562.0,976562.0,500.0,100.0,none,Itate Observatory,IPRT,phot.flux.density;em.radio;phys.polarization,1,2026-04-07T11:12:59.721,2026-04-07T11:13:00.287,2026-04-07T11:13:00.287,iprt,http://radio.gp.tohoku.ac.jp/db/IPRT-SUN/DATA2/2026/20260405_IPRT.fits,20260405_IPRT.fits,application/fits,29427.84,UTC,http://radio.gp.tohoku.ac.jp/sun_ql/plot/IPRT_SUN_20260405.gif,Tohoku University,10.1007/s11207-011-9919-y,SolarWind#Heliosphere,Solar radio bursts,AMATERAS,976562.0,976562.0
iprt_amateras_low_20260406_v1.0,IPRT AMATERAS Low Resolution Dataset,iprt_amateras_low_20260406_v1.0,ds,Sun,star,2461136.4046527776,2461136.825046296,1,1,1,1,100000000,500000000,976562.0,976562.0,500.0,100.0,none,Itate Observatory,IPRT,phot.flux.density;em.radio;phys.polarization,1,2026-04-07T11:13:00.295,2026-04-07T11:13:00.853,2026-04-07T11:13:00.853,iprt,http://radio.gp.tohoku.ac.jp/db/IPRT-SUN/DATA2/2026/20260406_IPRT.fits,20260406_IPRT.fits,application/fits,29626.56,UTC,http://radio.gp.tohoku.ac.jp/sun_ql/plot/IPRT_SUN_20260406.gif,Tohoku University,10.1007/s11207-011-9919-y,SolarWind#Heliosphere,Solar radio bursts,AMATERAS,976562.0,976562.0
